Твитнуть;Самоубийство
хаха да, видишь, я тебе говорил! Смесь шоколадного льда с кофейными зернами намного лучше! дайте мне знать, как сегодняшнее шоу;Не суицидный пост
неужели! Мэтт Эллиот (Фонд «Третий глаз») сегодня вечером играет на GRV. Ранний концерт (первый акт в 8.15, комендантский час в 10.30), если ктонибудь захочет?;Не суицидный пост
Я продолжаю портить то, что для меня важнее всего, и я чертовски ненавижу себя за то, что я такая;Пост о потенциальном самоубийстве
Я готов! не могу дождаться, чтобы увидеть здесь более подробную информацию;Не суицидный пост
все в порядке, но все в порядке, я тоже всегда был немного несчастным в детстве, я думаю, хотя я не могу вспомнить большую часть своего детства, я не хочу убивать себя, но иногда эта мысль просто закрадывается и меня немного пугает несколько недель назад возникла проблема, это была финансовая проблема, вполне решаемая, но я просто не мог с ней справиться, я завязал себе петлю и все, что я собирался сделать, я был совсем один в доме со своей собакой, так что не было никого, кто бы мог сможешь остановить меня, я ничего не делал, но я чувствовал, что мог бы сделать это полностью под влиянием решаемой проблемы, оставив позади все, что я люблю, и свое обнадеживающее будущее, я чувствую, что это сейчас тоже подкрадывается ко мне, все должно быть хорошо, но я не могу избавиться от чувства, что я должен просто сделать это, как будто всем было бы легче, если бы они осознали, как мало я им нужен;Пост о потенциальном самоубийстве
Разве это не должна быть жизнь на «переулке для машин», мой друг?;Не суицидный пост
еще раз, я ненавижу возвращаться в rp, потому что я стал причиной многих плохих вещей, которых не должно было случиться(( буб… ;Пост о потенциальном самоубийстве
я как будущий психотерапевт блин  бывает так иногда;Пост о потенциальном самоубийстве
хаха оууу. я ел потрясающую пиццу 2 дня после фотосессии =D я приглашу тебя с собой, хехе.. ты ответишь на твой телефон 2 ночи? хх;Не суицидный пост
Да, это так!;Не суицидный пост
Я люблю тебя ;Не суицидный пост
Моя миссис всегда отчитывает меня за это  сиди и наслаждайся моментом, вместо того, чтобы пытаться его сфотографировать!!!;Не суицидный пост
Подождите, я беру свои слова обратно, я чертовски ненавижу жить в Маркхэме и хочу покончить с собой, черт возьми.;Пост о потенциальном самоубийстве
ооооочень мило! Но он все равно милашка!;Не суицидный пост
Милый;Не суицидный пост
Жизнь так коротка, чувак, я не могу не подчеркнуть, насколько важно для тебя проживать свою любовь в мире и хорошей энергии!;Не суицидный пост
Сегодня вечером было чудесно. Я знал, что ты проверишь твиттер перед сном. Ха Ха;Не суицидный пост
Мне нравится звучание моей новой должности. Менеджер инвентаря.;Не суицидный пост
черт возьми, умоляю тебя, просто оставь меня здесь умирать, Я ЭТОГО ЗАСЛУЖИВАЮ ;Пост о потенциальном самоубийстве
пациент я ненавижу себя и хочу умереть;Пост о потенциальном самоубийстве
Хуже всего то, что я быстро утомляюсь и люблю подремать. К счастью, я не устаю до окончания работы», ;Пост о потенциальном самоубийстве
– Когда Челси приносит мне шоколад и диетическую колу, я снова счастлив;Не суицидный пост
Я думаю, она просто адресовала комментарий вам, потому что думала, что вы, возможно, захотите это знать.;Не суицидный пост
Я не хочу всего этого.;Не суицидный пост
Иногда ты никогда не узнаешь, как сильно ты облажался, пока однажды не проснешься ни с чем.;Пост о потенциальном самоубийстве
"Либералы говорят, что консерваторы — это зло. НИЧЕГО не дальше от истины! Мы верим в «живой и ампер»; давай жить». Либералы думают, что это грандиозно…";Пост о потенциальном самоубийстве
Юта,Хочешь сделать идеальное селфи? Вот что вам следует искать в камере вашего телефона!;Пост о потенциальном самоубийстве
Прошел еще один год, а я все еще один, грустный и страдающий. Смогу ли я когданибудь жить достойно? Или будет… ;Пост о потенциальном самоубийстве
Я просто хочу напомнить вам всем, что без Айрис Барри Аллен был бы мертв прямо сейчас. Но она бесполезна, верно? ;Пост о потенциальном самоубийстве
Сегодня я чувствую себя лучше, немного поспала, дождя нет, так что могу выгнать зверей;Не суицидный пост
"Во время реконструкции и вскоре после нее. У них сейчас закончились доллары и amp; у меня настоящие проблемы... но я собираюсь вести себя хорошо и хорошо; не выставлять их напоказ";Не суицидный пост
я хочу быть бизнесменом.;Не суицидный пост
ПОСЛЕ ЭФФЕКТОВ ЗАМОРОЖЕНО, И Я НЕ ПОВТОРЯЮ, Я НЕ СОХРАНИЛ СВОЮ РЕДАКТИРОВКУ, Я ХОЧУ НА САМОМ ДЕЛЕ, Чёртова смерть.... ЭТО ПОЛУЧИЛОСЬ… ;Пост о потенциальном самоубийстве
О боже, сладкий никотин и смола, я так сильно хочу вас обоих сегодня, что со мной не так, лол хахаха XX;Не суицидный пост
Добро пожаловать в джунгли!;Не суицидный пост
Чикаго, Иллинойс, жизнь трудна. Я никогда не думал, что зайду в социальные сети, чтобы высказатьпоговорить о своих чувствах. Но чувак, моя жизнь — отстой. Я не хочу внимания, но знаю, что изза этого твита это выглядит так же, как и я. Я закончил стриминг, YouTube и просто играю в игры. Просто не хочу больше здесь находиться.;Пост о потенциальном самоубийстве
Я 20летняя трансдевушка, которая недавно принимала гормоны около 4 месяцев. У меня был депрессивный эпизод изза гендерной дисфории, пока примерно пару недель назад я только что устроилась на работу и представляла себя женщиной и использовала женское имя. единственная проблема в том, что я все еще выгляжу несколько мужественно, поэтому на меня постоянно смотрят и отмахиваются. Я не могу общаться ни с кем из своих коллег, потому что я выгляжу и веду себя с ними странно. Я знаю, что мне нужно подождать с этими гормонами, но я очень напуган. что, если они не будут работать, что, если меня избьют, что, если я потеряю работу изза того, что просто являюсь собой, я хочу быть счастливым, но это так тяжело, что дошло до того, что все, что я делаю, это просто думаю о смерти и надеюсь, что, может быть, я я справлюсь, я просто не могу больше этого терпеть;Пост о потенциальном самоубийстве
всем доброе утро.;Не суицидный пост
Сегодня, год назад, я потеряла соседа и друга изза . Итак, вот цитата, которая помогла мне пережить худшие времена. Фа ;Пост о потенциальном самоубийстве
9 решек или нет, если бы он захотел убить его, он был бы мертв. Итачи мог бы убить его, но он не хотел… id… ;Пост о потенциальном самоубийстве
Поздравляем Горба с окончанием средней школы. Мы все надеемся, что вы стремитесь к величию, как и на COD4.;Не суицидный пост
"Пришлось просто погуглить ""Как вставить MicroSD в Blackberry Bold"" Хотя нашел!";Не суицидный пост
Проснись....надеюсь, у моего старшего брата будет время для меня на 2 дня, хотя бы немного. Да, но Кейтлин может прийти потусоваться со мной.;Не суицидный пост
С днем ​​рождения легендарного Нила Янга! Сегодня ему исполняется 73 года! ;Не суицидный пост
«Меня зовут Арья Старк. Я хочу, чтобы вы это знали. Последнее, что вы когдалибо увидите, это улыбка Старка…;Пост о потенциальном самоубийстве
ох, черт возьми, да... но этот список нужно составлять очень страстно... ой, я терпеливо думаю;Не суицидный пост
лол — да, они могут быть громкими, это зависит от того, где находится твоя сушилка, но они избавляют от статики — очень подло, насчет собаки, лолкс;Не суицидный пост
ктонибудь, просто убей меня, пожалуйста;Пост о потенциальном самоубийстве
Слишком застенчив для этого. Плюс он уже украл мой мозг во сне.;Не суицидный пост
нет, ты не неудачник, я не ем это, потому что хочу прожить еще несколько лет, ты один из самых умных;Не суицидный пост
да, я знаю! и я в Бостоне на ярмарке колледжей, а не школы хахаа;Не суицидный пост
у нас нет билетов, мы просто собираемся посетить праздник;Не суицидный пост
с днём рожденияаааааййй, малышка  ¸¸¸¸¸да благословит тебя бог;Не суицидный пост
О Да, я уверен! Я так рада, что он это снова проверил... What TimeMe?..Ониш? Джаааааа! Лолм!;Не суицидный пост
Скачала приложение минтай, оно мне очень нравится! Нарисовал цветок лолз ;Не суицидный пост
Я буквально ненавижу себя за то, что прочитала эту чертову книгу.;Пост о потенциальном самоубийстве
Лучше тогда добавить вышибалы. Ни в коем случае вы все настолько тупы, чтобы внести такое большое изменение в игру… ;Пост о потенциальном самоубийстве
Я клянусь двигаться вперед или добиться успеха в жизни;Не суицидный пост
И следующая четырехдневная неделя;Не суицидный пост
Мне не нужно ваше оружие. Серьезно. Я не уверен, кто это делает… ;Пост о потенциальном самоубийстве
оууу, тебе придется использовать Твиттер в качестве компании;Не суицидный пост
мы вернемся в воскресенье или понедельник!;Не суицидный пост
я только что понял, что через месяц я смогу отпраздновать свой день рождения просмотром фильма о Росомахе, а затем на WWE Raw, хорошее время;Не суицидный пост
в процессе изготовления куклы нет. 2 и выглядит намного лучше и симпатичнее;Не суицидный пост
Манчестер, Англия,  я просто не хочу больше здесь находиться;Пост о потенциальном самоубийстве
Я не могу дождаться, чтобы сделать эту чертову пластику носа, чтобы я мог делать новые селфи, потому что я ненавижу каждую свою фотографию, включая… ;Пост о потенциальном самоубийстве
".youtube.comTitomi15..СМОТРИТЕ ВИДЕО, КОММЕНТИРУЙТЕ И ПОДПИСЫВАЙТЕСЬ!! ; СЛЕДУЙТЕ за мной, Привет х";Не суицидный пост
Thirdsectorlab Приветствую.;Не суицидный пост
он сын одного из моих друзей;Не суицидный пост
К черту погоду!! Я в Париже! Пойдем, проведем прекрасный день;Не суицидный пост
Я такой. Отвратительное разочарование я стал заметно толще, мои щеки опухли, а живот фактически уменьшился… ;Пост о потенциальном самоубийстве
Я рад, что я уже не тот человек, которым был в прошлом году.;Не суицидный пост
чуть не сломался на уроке только потому, что меня посещали самые негативные мысли, и я устал жить хахахахахахахах;Пост о потенциальном самоубийстве
я продолжаю повторять себе убей себя, убей себя, сделай это уже, я готов прислушаться к своим внутренним мыслям, которые я пытался сделать в прошлом, но в последний момент либо я переживаю это просто в адском пламени боли, становясь еще большим провалом, либо моя тело останавливает меня мой разум кричит сделать это, но иногда мое тело просто останавливает меня иногда мое тело отказывается от жизни, и я буду лежать там, желая пролить слезу, но я знаю, что никого это не волнует, поэтому я тихо лежу в темноте несколько дней в конце концов я пытаюсь заглушить голоса со всем, что у меня осталось от музыки, но в последнее время я не хочу слушать все, что мне нужно сделать, то, что запомнилось мне на всю жизнь, я готов слушать голоса, я готов слушать свои внутренние крики, если бы мне было легче доступ к оружию, моя жизнь была бы намного сложнее, но вместо этого мне придется уйти либо более болезненным способом, я надеюсь, что у других попрежнему будет желание продолжать, но, к сожалению, я думаю, что потерял свое;Пост о потенциальном самоубийстве
ой;Не суицидный пост
пойду порежу немного курицы;Не суицидный пост
tarik653 Я не хотел об этом думать.;Не суицидный пост
Cotulla, TX  Lacoste, TX,  я просто не хочу больше здесь находиться;Пост о потенциальном самоубийстве
волшебное омоложение... хм, я думаю о тройной кислородной маске  и Blissage105! Держись там!;Не суицидный пост
ПРОСТО УБЕЙ МЕНЯ;Пост о потенциальном самоубийстве
похоже, ты нашел все пиво;Не суицидный пост
я просто хочу, чтобы у меня был друг или группа друзей, которые не оставят меня в стороне;Пост о потенциальном самоубийстве
LoL сегодня меня вдохновляет любая женщина, которая может справиться с семерыми детьми ;Не суицидный пост
Мне никогда не приходилось делать больше, бросать тень или ненавидеть. Я могу молчать, а суки всё равно хотят моей смерти. Это чистая Ненависть и я...;Пост о потенциальном самоубийстве
Я правда устал от этого!!! Это похоже на жизнь в доме, где проблемный и лживый ребенок всегда побеждает! Это не...;Пост о потенциальном самоубийстве
Доброе утро! Светит солнце, и я иду на пляж с несколькими друзьями. Посмотрим позже, когда я весь загорю.;Не суицидный пост
пациент я ненавижу себя и хочу умереть;Пост о потенциальном самоубийстве
"Но Бог не только хочет, чтобы мы были СЧАСТЛИВЫ; Он хочет, чтобы нам было хорошо.";Не суицидный пост
Фото eatsleepdraw так странно — мне это нравится. ;Не суицидный пост
йоу, мне серьезно пора перестать быть таким чертовски цепким к людям, как будто я чертовски раздражаю, я ненавижу себя;Пост о потенциальном самоубийстве
привет, спасибо за подписку! ты закончил брелок?;Не суицидный пост
Я не хочу, чтобы они пришли изза моего счета. Буквально единственное, что удерживает меня в этом жалком существовании, это… ;Пост о потенциальном самоубийстве
я такой любящий и заботливый человек;Не суицидный пост
я бы хотел, чтобы на ваш сайт разместили ссылку ;Не суицидный пост
Куда бы нас ни привел день! Сегодня по пути в Юлгрив, солнце просыпается!;Не суицидный пост
мой сон был нарушен. я планирую завершить карьеру сегодня;Не суицидный пост
ну, ты проводишь там достаточно времени, так что можешь субсидировать свою привычку.;Не суицидный пост
Устали жить изо дня в день, как будто все в порядке;Пост о потенциальном самоубийстве
Я просто хочу защитить тебя...;Не суицидный пост
Сегодня нас посетил наш прекрасный руководитель зоны.... приятно;Не суицидный пост
Мы устали от концерта и вместо этого съели лапшу. После того, как мы поели, Эмили увидела фотографии, которые есть в ресторане… ;Пост о потенциальном самоубийстве
Я только что нашла предсмертную записку (со мной все в порядке), которую написала в апреле. Кажется, мои даты ошиблись! В этом году. Комментаторы NBC продолжают…;Пост о потенциальном самоубийстве
Иди ты;Не суицидный пост
"Быстрый ; «Форсаж Новая модель, оригинальные детали» действительно хороший фильм";Не суицидный пост
В восторге от того, что в WalMart теперь есть Самбазон!!!;Не суицидный пост
мне поручили сидеть рядом с самым классным учеником в моем классе (Y) хахаха;Не суицидный пост
Поздравляем Сей  с тем, что он стал последним автором недели . Продолжайте творить, продолжайте писать и…;Не суицидный пост
состоит в том, чтобы идти от неудачи к неудаче без потери энтузиазма. Уинстон Черчилль  ;Не суицидный пост
Без сомнения, Обама пропагандировал ненависть, раскол, хаос и анархию! Они такие… ;Пост о потенциальном самоубийстве
я больше не хочу здесь находиться. Мои родители слишком сильно давят на меня, чтобы я нашел работу, о которой я прошу, и все такое, и все же они жалуются. Я больше не чувствую себя комфортно, живя в собственном доме. Все, что я хочу, это просто уйти отсюда навсегда и уехать в другую страну.;Пост о потенциальном самоубийстве
убей меня уже, я не хочу здесь больше находиться;Пост о потенциальном самоубийстве
сказал, что у него есть работа, но есть время на это дерьмо, не могу дождаться, чтобы увидеть его в следующий раз, когда пойду на пробежку на макаках!;Пост о потенциальном самоубийстве
Подумываю о хамстивом банковском счете. Это хорошая идея, чтобы сэкономить. (^.^);Не суицидный пост
Мне очень нравится фотография. Тоже хорошее интервью;Не суицидный пост
я умру, просто подожди и увидишь мои последние слова перед смертью, кому интересно, извини, но тебе будет лучше без меня, ты научишься жить без меня, теперь это не будет сложно, я умру;Пост о потенциальном самоубийстве
Но я знаю, что ты хочешь услышать о моих экзаменах.;Не суицидный пост
чувствую онемение, ненавижу свою работу, ненавижу просыпаться каждый день, я ничего не чувствую, чувствую, что нахожусь на автопилоте, меня бросили 3 месяца назад, почти изза 4летних отношений, меня больше ничего не поднимает, мои родители в другом штате, поэтому я просто не могу навестить их когда бы я ни захотел, я не знаю, смогу ли я на самом деле покончить с этим сам, но я мечтаю о других способах, например, о том, как меня сбивает машина и мгновенно убивает, иногда я думаю о том, чтобы просто принять кучу таблеток и оставить все как есть;Пост о потенциальном самоубийстве
"Есть ""вещь""; для докторских шиков.";Не суицидный пост
со мной не все в порядке, лол, я буквально не могу объяснить все, столько всего произошло, что я больше не хочу здесь находиться. в чём вообще дело. я буквально не могу, я хочу, чтобы все закончилось. я не могу нормально дышать изза того, как сильно плачу, я больше не могу этого делать.;Пост о потенциальном самоубийстве
Я имею в виду.... моя жизнь ужасна, так что, думаю, свет в конце туннеля;Пост о потенциальном самоубийстве
спасибо, Дэвид;Не суицидный пост
он не хотел, чтобы она встречалась с другим мужчиной;Не суицидный пост
Порежьте мне запястье и зачерните мои глаза;Пост о потенциальном самоубийстве
С днем ​​рождения, наша Анни ;Не суицидный пост
Ненавижу тот факт, что я чертовски вынужден во всем разбираться сам, но это должно быть сделано;Пост о потенциальном самоубийстве
ммм, ОЖ, яичница с сыром и тостами, ГИЛМОРДЕРЛС ТОЖЕ! аххх. этот день потрясающий... если бы я только мог заставить работать сушилку.;Не суицидный пост
Я полностью за справедливый налог или возвращение дефицита Буша. Чтонибудь!;Не суицидный пост
"С репортажами основных СМИ ; увеличение количества неудачных китов, вы знаете, что в конечном итоге ваши друзья это поймут";Не суицидный пост
"Встреча с Ино в четверг. Брайан Ино и amp; Дж. Питер Швальм  Like Pictures, Pt. 2 (нтнет) ? ";Не суицидный пост
пока я этим занимаюсь,  купи рубашку, пожалуйста;Не суицидный пост
МЕГА МОНСТР МУНЧ;Не суицидный пост
Я могу только представить, как много из этого хотел бы знать Говард.;Не суицидный пост
Черт возьми, торговые автоматы вызывают такое уныние стоять у них в ожидании своей грустной закуски, как какаято павловская сука! Приятного вторника!;Не суицидный пост
я не хочу больше здесь находиться;Пост о потенциальном самоубийстве
Заметил коечто интересное в этом смайле vs D Совершенно разные эмоции, разница только в расположении глаз...;Не суицидный пост
Желаю вам прожить каждый день своей жизни Джонатан Свифт;Не суицидный пост
ок, подожди, как эти цифры могут быть неверными, если видео две недели назад...? Плотность расписания и рекорды не сильно меняются за две недели. и если вас не волнует топ4, почему вы здесь? выиграл свой дивизион, с самого начала превзойдя рейтинг, чего еще ты хочешь?;Пост о потенциальном самоубийстве
Вспоминая легендарного бывшего  Индии Ш  в его знаменательный день рождения;Не суицидный пост
я устал от всего, пожалуйста, поэтому я хочу умереть.;Пост о потенциальном самоубийстве
Дорога не самая широкая и ровная, но на пути вверх открываются прекрасные виды, если повернуть голову вправо;Не суицидный пост
Теперь писцы не могут приходить на прессконференции в своей обуви благодаря Джарнаилу Сингху...;Не суицидный пост
"просто расслабляюсь =P я имею в виду каникулы.. нечего делать.. тишина.. только я.. *хаха* наконецто я могу расслабиться.. с типичной для меня книгой!! ;3";Не суицидный пост
Смотрю этим утром и решаю, чем заняться с собой сегодня. Думаю, я продолжу искать эту неуловимую работу!;Не суицидный пост
2 победы за 2 недели. Поздравляем ! Машина;Не суицидный пост
Я люблю тебя и прямо сейчас! И моему банковскому балансу это тоже нравится! Отличный стиль стал доступным  ;Не суицидный пост
К счастью для меня, я собираюсь посмотреть это шоу в НьюЙорке. Надеюсь, осенью вы привезете его и в Европу. я тоже буду там;Не суицидный пост
я так устал сегодня. я хочу лежать в постели, полной мальчиков, и просто обниматься, звучит так здорово, возможно, выгляжу еще лучше.;Не суицидный пост
у меня такая гадкая привычка сравнивать себя с другими девушками, блин, я себя ненавижу (;Пост о потенциальном самоубийстве
да, я устал жить один ;Пост о потенциальном самоубийстве
schÃ¯ÂÂ½nes Marketing Пакет стимулов ;Не суицидный пост
только что начал крутить ATR в 10 утра, чувак. Моя мама меня убьет. НО КОГО ЗАНИМАЕТ!;Не суицидный пост
Грэм, Техас,  я больше не хочу здесь находиться;Пост о потенциальном самоубийстве
Тим Фишер говорил о своей любви к своей семье и своему…;Не суицидный пост
Все, чего я хочу, это прийти домой, принять чертов душ и умереть.;Пост о потенциальном самоубийстве
нет !, просто не знал, думаешь ли ты, что надевать чтонибудь на кошку  это фоб, а не фил. Рад, что котятам понравился купол.;Не суицидный пост
Я чертовски ненавижу свое чертово имя в PSN. Жаль, что я не назвал себя Po.. В каждых 23 играх есть хотя бы один человек, который…;Пост о потенциальном самоубийстве
привет новые подписчики;Не суицидный пост
Ой опять это твиттер....;Не суицидный пост
Чувак, я так хочу, чтобы Санчо добился здесь успеха. Он суперзвезда, просто нужно снова в это поверить;Не суицидный пост
– Тим просто великолепен..;Не суицидный пост
это просто потрясающе! теперь мне хочется умную машину! (и чашка чая);Не суицидный пост
Индийский роллер — птица, которая в Индии считается благоприятной.   на Тигре   дикой природы;Не суицидный пост
margb1509 То же самое и здесь, в Новой Зеландии. С нетерпением жду, когда они начнут снова! Приятной ночи!;Не суицидный пост
ТЫ ЗАСТАВЛЯЕШЬ МЕНЯ ПЛАКАТЬ КАЖДУЮ НОЧЬ, И ДАЖЕ НЕ ЗНАЕШЬ ОБ ЭТОМ;Пост о потенциальном самоубийстве
"поздно вечером играю с ребятами. веселые времена. [вчера тоже был головокружительный день] ;3";Не суицидный пост
сегодня вечером я в последний раз ношу волосы в стиле Миллы Йовович  завтра наконецто сделаю прямую стрижку;Не суицидный пост
— главный тренд. Я удивлен. Но мне это очень понравилось!;Не суицидный пост
Наши планы прекрасно совпали! Я действительно очень счастлив сегодня;Не суицидный пост
смеется, не могу поверить, что блохи напали на Дуги хх;Не суицидный пост
некоторые люди много твитят. Это круто... я думаю;Не суицидный пост
ВАУ, Я ДОБАВЛЯЮ ЭТО В СВОЙ СПИСОК ДЕРЬМА, ЧТОБЫ ПОСЛУШАТЬ, КОГДА ХОЧУ УМЕРЕТЬ;Пост о потенциальном самоубийстве
Честно говоря, я больше не хочу здесь находиться....;Пост о потенциальном самоубийстве
мой неофициальный диагноз — биполярное шизоаффективное расстройство. Это был кошмар, столько проб и ошибок, всевозможные методы лечения. Мое лекарство — коктейль из примерно 20 таблеток в день — привело меня к состоянию, когда я могу функционировать изо дня в день, я не знаю, как мне чувствую прямо сейчас, но все, что я знаю, это то, что я хочу, чтобы это прекратилось;Пост о потенциальном самоубийстве
Когда я умру, я хочу, чтобы у моего мемориала прошла служба в закрытом гробу. Затем я хочу, чтобы они сыграли «Pop Goes The Weasel» и… ;Пост о потенциальном самоубийстве
Празднование небольшого банковского триумфа (это банковское дело с буквой b). Есть один, чтобы признать, что это было неправильно;Не суицидный пост
может быть, я ненавижу себя;Пост о потенциальном самоубийстве
Я устал жить обычной жизнью.;Пост о потенциальном самоубийстве
Я устала так жить;Пост о потенциальном самоубийстве
Рад, что вам понравилось!;Не суицидный пост
Никому со мной не все в порядке, хватит спрашивать, так ли это. Перестань спрашивать меня, что случилось. Если бы я знал, то я бы, черт возьми, сказал… ;Пост о потенциальном самоубийстве
эй, у тебя неплохие вещи, можешь загрузить их на iTunes?;Не суицидный пост
Если вы хотите победить, сначала вам нужно понять игру, в которую вы играете.;Не суицидный пост
– Мой малыш такой очаровательный;Не суицидный пост
Спасибо, что помогли поделиться любовью PostRank.;Не суицидный пост
интересно отметить, что твиттер похож на брендинг... чем больше вы твитите, тем больше людей подписано  спасибо за подписку, Алистер, Марк, Грег;Не суицидный пост
у нас в треке IT Pro появился храп! Действительно это довольно интересно;Не суицидный пост
– Мы оба знамениты;Не суицидный пост
мои странные сны теперь являются частью моей жизни и делают меня тем, кто я есть xxxxxxxxx;Не суицидный пост
устал жить этой одинокой жизнью;Пост о потенциальном самоубийстве
это приглашения в личные сообщения!;Не суицидный пост
Он Я знал, что даже если бы я достиг своей мечты, это не могло бы быть всем. Я тебя люблю. Меня тошнило от того, что мы смогли получить тир… ;Пост о потенциальном самоубийстве
Доброе утро всем! Надеюсь, у вас отличное начало дня! *поднимает чашку кофе*;Не суицидный пост
Он был очень хорошим мальчиком. Теперь он выглядит еще симпатичнее. Если бы такое было возможно.;Не суицидный пост
я хочу убить его;Не суицидный пост
Цените и будьте благодарны за каждый данный момент и проживайте свою жизнь с любовью и радостью   ;Не суицидный пост
Я чертовски устал от сегодняшних твитов, боже мой, перестань относиться к романтике так, будто она вращается вокруг всего, ты не будешь… ;Пост о потенциальном самоубийстве
Хорошего тебе дня.;Не суицидный пост
Жаль. Сделайте это хорошим шоу;Не суицидный пост
Сегодня ситуация с трудоустройством не выглядит такой мрачной !!;Не суицидный пост
Мой рабочий график на следующую неделю вызывает у меня желание УМЕРЕТЬ. Я не готов.;Пост о потенциальном самоубийстве
да!! Но я все равно скорее думаю, что мой отец какаято американская суперзвезда, чем просто бездельник ^^ это делает меня счастливым;Не суицидный пост
Поздравляем тренера Лантера с победой в его первом карьерном матче…;Не суицидный пост
Ох, у меня так сильно болит сердце. Я люблю тебя, детка, так сильно.  ;Не суицидный пост
выползаю из ада,я больше не хочу здесь находиться;Пост о потенциальном самоубийстве
sbux играет исключительно в Ростама и Бек, мне это нравится;Не суицидный пост
